No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,>2000 (2 bil)
2853,KMX,Carmax Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,8437.06,15.55,56.22,0.0021,4019487,Yes
2857,KNF,Knife River Corp,Basic Materials,Building Materials,USA,4940.08,32.42,87.2,0.014,907839,Yes
2860,KNSA,Kiniksa Pharmaceuticals International Plc,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,2424.8,796.11,32.72,-0.0106,656246,Yes
2861,KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,10368.03,23.23,444.98,0.0018,123580,Yes
2862,KNTK,Kinetik Holdings Inc,Energy,Oil & Gas Midstream,USA,6561.73,44.25,41.54,-0.0142,1094306,Yes
2863,KNX,Knight-Swift Transportation Holdings Inc,Industrials,Trucking,USA,6901.08,41.89,42.52,0.0033,1905599,Yes
2864,KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,USA,299147.93,24.63,69.51,0.0067,10782977,Yes
2867,KOF,Coca-Cola Femsa S.A.B. DE C.V. ADR,Consumer Defensive,Beverages - Non-Alcoholic,Mexico,4399.6,14.71,83.77,0.0105,187545,Yes
2875,KR,Kroger Co,Consumer Defensive,Grocery Stores,USA,48747.02,20.04,73.73,0.0276,7091333,Yes
2877,KRC,Kilroy Realty Corp,Real Estate,REIT - Office,USA,4559.22,20.72,38.17,0.0093,1843813,Yes
2880,KRG,Kite Realty Group Trust,Real Estate,REIT - Retail,USA,4801.7,27.84,21.84,-0.0041,1469072,Yes
2889,KRYS,Krystal Biotech Inc,Healthcare,Biotechnology,USA,3936.25,27.67,136,-0.0098,532965,Yes
2891,KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,16868.07,7.79,88.77,-0.0038,326077,Yes
2895,KT,KT Corporation ADR,Communication Services,Telecom Services,South Korea,9878.26,21.98,20.17,-0.028,1340953,Yes
2896,KTB,Kontoor Brands Inc,Consumer Cyclical,Apparel Manufacturing,USA,3151.44,13.89,56.72,-0.0072,739821,Yes
2899,KTOS,Kratos Defense & Security Solutions Inc,Industrials,Aerospace & Defense,USA,9807.74,466.59,58.93,-0.0079,3437614,Yes
2905,KVUE,Kenvue Inc,Consumer Defensive,Household & Personal Products,USA,41162.87,39.1,21.44,-0.0092,32966724,Yes
2906,KVYO,Klaviyo Inc,Technology,Software - Infrastructure,USA,9745.57,,35.31,0.1502,6093088,Yes
2909,KWR,Quaker Houghton,Basic Materials,Specialty Chemicals,USA,2169.11,,124.7,-0.0103,240047,Yes
2911,KYMR,Kymera Therapeutics Inc,Healthcare,Biotechnology,USA,2901.28,,41.35,-0.0377,556976,Yes
2912,KYN,Kayne Anderson Energy Infrastructure Fund Inc,Financial,Closed-End Fund - Equity,USA,2102.24,3.88,12.43,0,287780,Yes
2915,L,Loews Corp,Financial,Insurance - Property & Casualty,USA,19514.67,14.96,94.08,0.0084,950687,Yes
2920,LAD,"Lithia Motors, Inc",Consumer Cyclical,Auto & Truck Dealerships,USA,7611.98,8.8,296.92,-0.0029,212870,Yes
2924,LAMR,Lamar Advertising Co,Real Estate,REIT - Specialty,USA,12753.7,30.3,124.56,-0.0082,611781,Yes
2929,LAUR,Laureate Education Inc,Consumer Defensive,Education & Training Services,USA,3605.98,14.43,24.47,0.0325,926904,Yes
2931,LAZ,Lazard Inc,Financial,Capital Markets,USA,4865.54,17.84,51.68,-0.004,608875,Yes
2933,LB,Landbridge Company LLC,Energy,Oil & Gas Equipment & Services,USA,4419.73,153.88,59.35,0.0051,540677,Yes
2934,LBRDA,Liberty Broadband Corp,Communication Services,Telecom Services,USA,8552.78,9.47,59.34,-0.0097,390906,Yes
2935,LBRDK,Liberty Broadband Corp,Communication Services,Telecom Services,USA,8537.49,9.51,59.57,-0.0115,2983981,Yes
2937,LBTYA,Liberty Global Ltd,Communication Services,Telecom Services,Bermuda,3794.09,,11.03,0.0018,1956433,Yes
2938,LBTYK,Liberty Global Ltd,Communication Services,Telecom Services,Bermuda,3793.97,,11.23,0.0018,1139309,Yes
2940,LCID,Lucid Group Inc,Consumer Cyclical,Auto Manufacturers,USA,6713.38,,2.18,-0.0971,136523285,Yes
2941,LCII,LCI Industries,Consumer Cyclical,Recreational Vehicles,USA,2418.27,15.97,95.82,-0.0022,285321,Yes
2949,LDOS,Leidos Holdings Inc,Technology,Information Technology Services,USA,22460.15,16.5,174.49,0.009,1749524,Yes
2951,LEA,Lear Corp,Consumer Cyclical,Auto Parts,USA,5065.22,11.12,95.2,0.0056,506743,Yes
2952,LECO,"Lincoln Electric Holdings, Inc",Industrials,Tools & Accessories,USA,13351.21,27.21,241.93,-0.0149,365288,Yes
2955,LEGN,Legend Biotech Corp ADR,Healthcare,Biotechnology,USA,6930.57,,37.66,-0.0198,1029009,Yes
2958,LEN,Lennar Corp,Consumer Cyclical,Residential Construction,USA,30757.36,9.87,119.35,-0.0062,2507677,Yes
2961,LEU,Centrus Energy Corp,Energy,Uranium,USA,3959.29,38.21,232.39,0.087,2838158,Yes
2962,LEVI,Levi Strauss & Co,Consumer Cyclical,Apparel Manufacturing,USA,8063.43,20.13,20.38,0.0195,3045196,Yes
2967,LFUS,"Littelfuse, Inc",Technology,Electronic Components,USA,6175.07,51.94,249.18,-0.0096,182378,Yes
2972,LGND,"Ligand Pharmaceuticals, Inc",Healthcare,Biotechnology,USA,2747.49,,142.4,0.0536,300500,Yes
2974,LH,Labcorp Holdings Inc,Healthcare,Diagnostics & Research,USA,21676.64,28.76,260.85,-0.01,527502,Yes
2975,LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense,USA,51802.81,30.91,276.88,-0.0048,1294870,Yes
2976,LI,Li Auto Inc ADR,Consumer Cyclical,Auto Manufacturers,China,20216.2,22.92,24.2,-0.0543,6292086,Yes
2977,LIF,Life360 Inc,Technology,Software - Application,USA,5950.1,833.33,77.75,0.025,492395,Yes
2978,LII,Lennox International Inc,Industrials,Building Products & Equipment,USA,20896.49,25.44,594.93,-0.0134,216970,Yes
2982,LIN,Linde Plc,Basic Materials,Specialty Chemicals,United Kingdom,221081.48,33.52,471.48,0.0035,1275905,Yes
2985,LINE,Lineage Inc,Real Estate,REIT - Industrial,USA,10215.7,,44.69,0.0056,2433978,Yes
2988,LITE,Lumentum Holdings Inc,Technology,Communication Equipment,USA,7634.69,,110.01,0.0172,2283391,Yes
2989,LIVN,LivaNova PLC,Healthcare,Medical Devices,United Kingdom,2582.34,,47.36,0.1115,1415948,Yes
2992,LKQ,LKQ Corp,Consumer Cyclical,Auto Parts,USA,7703.35,11,29.94,-0.0007,2509188,Yes
2993,LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,707361.41,61.83,746.37,-0.0256,4752116,Yes
2994,LLYVA,Liberty Media Corp,Communication Services,Entertainment,USA,31619.08,,82.67,-0.0071,175260,Yes
2995,LLYVK,Liberty Media Corp,Communication Services,Entertainment,USA,31592.09,,85.03,-0.0079,342411,Yes
2997,LMAT,Lemaitre Vascular Inc,Healthcare,Medical Instruments & Supplies,USA,2106.48,45.28,93.23,0.0891,428668,Yes
3001,LMND,Lemonade Inc,Financial,Insurance - Property & Casualty,USA,3741.71,,51.07,0.0655,5642983,Yes
3003,LMT,Lockheed Martin Corp,Industrials,Aerospace & Defense,USA,101522.28,24.48,434.85,0.0154,2032345,Yes
3004,LNC,Lincoln National Corp,Financial,Insurance - Life,USA,7477.05,6.88,39.44,0.017,2782042,Yes
3005,LNG,Cheniere Energy Inc,Energy,Oil & Gas Midstream,USA,52321.41,17.23,235.91,-0.0155,2078192,Yes
3008,LNT,Alliant Energy Corp,Utilities,Utilities - Regulated Electric,USA,16894.76,22.69,65.77,-0.0045,1541681,Yes
3009,LNTH,Lantheus Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,3588.67,13.78,51.87,-0.2858,13957466,Yes
3010,LNW,Light & Wonder Inc,Consumer Cyclical,Gambling,USA,7671.7,24.33,90.92,0.0287,963272,Yes
3013,LOAR,Loar Holdings Inc,Industrials,Aerospace & Defense,USA,6609.74,185.43,70.65,-0.0049,589100,Yes
3017,LOGI,Logitech International S.A,Technology,Computer Hardware,Switzerland,13977.41,22.56,94.73,-0.0058,765460,Yes
3020,LOPE,Grand Canyon Education Inc,Consumer Defensive,Education & Training Services,USA,4881.83,21.62,172.05,0.0262,438983,Yes
3023,LOW,"Lowe's Cos., Inc",Consumer Cyclical,Home Improvement Retail,USA,133546.7,19.74,238.29,0.0035,2448844,Yes
3025,LPL,LG Display Co Ltd. ADR,Technology,Consumer Electronics,South Korea,4050,,4.05,0.0075,297733,Yes
3026,LPLA,LPL Financial Holdings Inc,Financial,Capital Markets,USA,30300.76,25.9,378.74,0.0128,558683,Yes
3030,LPX,Louisiana-Pacific Corp,Industrials,Building Products & Equipment,USA,6488.49,22,93.24,-0.0181,2406809,Yes
3037,LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,USA,122718.59,23.07,95.94,-0.0077,10631883,Yes
3040,LRN,Stride Inc,Consumer Defensive,Education & Training Services,USA,6455.37,24.66,148.32,0.1567,2365629,Yes
3044,LSCC,Lattice Semiconductor Corp,Technology,Semiconductors,USA,7882.45,251.44,57.58,0.0257,4650603,Yes
3046,LSTR,"Landstar System, Inc",Industrials,Integrated Freight & Logistics,USA,4566.99,27.64,131.79,0.0097,268914,Yes
3049,LTH,Life Time Group Holdings Inc,Consumer Cyclical,Leisure,USA,5922.07,26.42,26.99,0.0449,4255589,Yes
3051,LTM,LATAM Airlines Group S.A. ADR,Industrials,Airlines,Chile,12992.44,11.07,42.99,-0.0046,266777,Yes
3055,LU,Lufax Holding Ltd ADR,Financial,Credit Services,China,2371.82,,2.83,0,1251911,Yes
3057,LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,24556.17,13.41,196.51,0.0074,2143781,Yes
3058,LUMN,Lumen Technologies Inc,Communication Services,Telecom Services,USA,3858.29,,3.76,0.0027,10429606,Yes
3061,LUV,Southwest Airlines Co,Industrials,Airlines,USA,15603.33,44.68,29.71,-0.007,8835964,Yes
3066,LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos,USA,36189.84,26.62,52.72,0.01,2770233,Yes
3069,LW,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,USA,7167.03,20.53,51.45,-0.0322,2137932,Yes
3074,LXP,LXP Industrial Trust,Real Estate,REIT - Industrial,USA,2354.46,28.77,7.96,-0.0062,3113800,Yes
3077,LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,United Kingdom,15937.68,65,49.55,-0.0467,7469408,Yes
3079,LYFT,Lyft Inc,Technology,Software - Application,USA,5884.7,103.02,13.99,-0.0358,45130632,Yes
3080,LYG,Lloyds Banking Group plc ADR,Financial,Banks - Regional,United Kingdom,64621.35,,4.33,0,7898803,Yes
3082,LYV,Live Nation Entertainment Inc,Communication Services,Entertainment,USA,34601.21,51.11,149.29,-0.0075,2185109,Yes
3085,M,Macy's Inc,Consumer Cyclical,Department Stores,USA,3288.34,6.12,12.11,0.0092,5858019,Yes
3086,MA,Mastercard Incorporated,Financial,Credit Services,USA,514500.26,38.39,569.13,0.0055,2245248,Yes
3087,MAA,"Mid-America Apartment Communities, Inc",Real Estate,REIT - Residential,USA,16876.12,28.96,140.61,-0.0084,807956,Yes
3088,MAC,Macerich Co,Real Estate,REIT - Retail,USA,4482.26,,17.01,-0.0053,1471014,Yes
3089,MAG,MAG Silver Corp,Basic Materials,Silver,Canada,2243.01,24.65,21.68,0.0009,858294,Yes
3095,MAIN,Main Street Capital Corporation,Financial,Asset Management,USA,5711.23,10.89,64.15,0.0077,406788,Yes
3099,MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,13060.61,60.19,215.99,0.001,336169,Yes
3100,MANU,Manchester United Plc,Communication Services,Entertainment,United Kingdom,3068.56,,17.98,-0.0017,140312,Yes
3102,MAR,"Marriott International, Inc",Consumer Cyclical,Lodging,USA,71955.25,29.64,262.71,0.0115,1635609,Yes
3103,MARA,MARA Holdings Inc,Financial,Capital Markets,USA,5886.57,14.23,15.89,0.0173,21598743,Yes
3104,MAS,Masco Corp,Industrials,Building Products & Equipment,USA,14515.18,18.41,69.33,-0.009,2437765,Yes
3105,MASI,Masimo Corp,Healthcare,Medical Devices,USA,7842.8,,144.65,-0.1173,3725218,Yes
3107,MAT,"Mattel, Inc",Consumer Cyclical,Leisure,USA,5574.06,11.15,17.3,0.0182,4545138,Yes
3110,MATX,Matson Inc,Industrials,Marine Shipping,USA,3618.54,7.7,113.83,0.0198,398920,Yes
3118,MBLY,Mobileye Global Inc,Consumer Cyclical,Auto Parts,Israel,11423.92,,13.91,-0.0121,4642068,Yes
3123,MC,Moelis & Co,Financial,Capital Markets,USA,5657.32,27.62,70.09,-0.0023,462323,Yes
3126,MCD,McDonald's Corp,Consumer Cyclical,Restaurants,USA,219986.98,26.35,307.66,0.0298,6474304,Yes
3130,MCHP,"Microchip Technology, Inc",Technology,Semiconductors,USA,35710.26,,66.17,-0.0143,6366094,Yes
3133,MCK,Mckesson Corporation,Healthcare,Medical Distribution,USA,87902.23,27.26,703.76,-0.0081,1305534,Yes
3134,MCO,Moody's Corp,Financial,Financial Data & Stock Exchanges,USA,92835.9,43.98,517.48,0.0032,621134,Yes
3139,MCY,Mercury General Corp,Financial,Insurance - Property & Casualty,USA,3954.2,10.14,71.39,-0.0126,341790,Yes
3141,MDB,MongoDB Inc,Technology,Software - Infrastructure,USA,19269.87,,235.82,0.0332,1788798,Yes
3143,MDGL,Madrigal Pharmaceuticals Inc,Healthcare,Biotechnology,USA,7507.15,,338.11,-0.0024,346590,Yes
3145,MDLZ,Mondelez International Inc,Consumer Defensive,Confectioners,USA,80315.19,22.67,62.07,-0.0037,7728146,Yes
3146,MDT,Medtronic Plc,Healthcare,Medical Devices,Ireland,114493.82,24.7,89.36,-0.0035,5545019,Yes
3147,MDU,MDU Resources Group Inc,Industrials,Conglomerates,USA,3573.75,13.66,17.49,-0.0119,1551511,Yes
3155,MEDP,Medpace Holdings Inc,Healthcare,Diagnostics & Research,USA,12090.4,32.01,430.37,-0.0136,368690,Yes
3159,MELI,MercadoLibre Inc,Consumer Cyclical,Internet Retail,USA,117476.98,57.22,2317.22,-0.0377,616178,Yes
3161,MEOH,Methanex Corp,Basic Materials,Chemicals,Canada,2256.55,9.26,33.48,-0.0045,491970,Yes
3164,MESO,Mesoblast Ltd ADR,Healthcare,Biotechnology,Australia,2001.97,,15.66,0.0045,76237,Yes
3165,MET,Metlife Inc,Financial,Insurance - Life,USA,50985.06,12.36,75.95,0.0142,4475289,Yes
3166,META,Meta Platforms Inc,Communication Services,Internet Content & Information,USA,1939209.83,27.96,771.99,0.0112,9733910,Yes
3173,MFC,Manulife Financial Corp,Financial,Insurance - Life,Canada,53539.31,16.3,31.26,0.0143,1673586,Yes
3174,MFG,"Mizuho Financial Group, Inc. ADR",Financial,Banks - Regional,Japan,75979.94,12.87,6.08,0.0167,1562463,Yes
3178,MGA,Magna International Inc,Consumer Cyclical,Auto Parts,Canada,11833.08,9.86,42,0.0055,1321953,Yes
3180,MGEE,"MGE Energy, Inc",Utilities,Utilities - Regulated Electric,USA,3065.29,23.75,83.89,-0.0082,97992,Yes
3183,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,9551.18,19.33,35.09,0.0034,3679477,Yes
3184,MGNI,Magnite Inc,Communication Services,Advertising Agencies,USA,3172.16,113.36,22.48,0.0049,3440764,Yes
3187,MGRC,McGrath Rentcorp,Industrials,Rental & Leasing Services,USA,2916.71,11.54,118.51,-0.0179,78260,Yes
3190,MGY,Magnolia Oil & Gas Corp,Energy,Oil & Gas E&P,USA,4524.21,12.36,23.71,-0.0178,2338331,Yes
3191,MHK,"Mohawk Industries, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,7529.15,16.1,121.18,0.0054,817061,Yes
3192,MHO,MI Homes Inc,Consumer Cyclical,Residential Construction,USA,3417.33,7.11,129.49,-0.0019,254420,Yes
3193,MIDD,Middleby Corp,Industrials,Specialty Industrial Machinery,USA,6326.86,15.05,118.3,-0.1825,4885597,Yes
3197,MIR,Mirion Technologies Inc,Industrials,Specialty Industrial Machinery,USA,5030.27,529.24,21.54,0.0019,1881465,Yes
3198,MIRM,Mirum Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2644.66,,53.39,0.0299,611490,Yes
3204,MKC,"McCormick & Co., Inc",Consumer Defensive,Packaged Foods,USA,18642.16,24.11,69.43,-0.0046,2003877,Yes
3205,MKL,Markel Group Inc,Financial,Insurance - Property & Casualty,USA,24744.03,11.73,1955.74,0.0089,43731,Yes
3206,MKSI,MKS Inc,Technology,Scientific & Technical Instruments,USA,6011.01,26.71,89.62,-0.0261,1516555,Yes
3207,MKTX,MarketAxess Holdings Inc,Financial,Capital Markets,USA,7005.31,31.42,186.8,-0.1011,1903137,Yes
3208,MLCO,Melco Resorts & Entertainment Ltd ADR,Consumer Cyclical,Resorts & Casinos,Hong Kong,3377.05,63.46,8.65,-0.0148,1990529,Yes
3210,MLI,"Mueller Industries, Inc",Industrials,Metal Fabrication,USA,9667.5,13.86,87.33,-0.0006,895925,Yes
3212,MLM,"Martin Marietta Materials, Inc",Basic Materials,Building Materials,USA,36053.09,34.39,598.04,-0.0156,618400,Yes
3219,MLTX,MoonLake Immunotherapeutics,Healthcare,Biotechnology,Switzerland,3387.38,,52.76,-0.0122,535778,Yes
3221,MMC,"Marsh & McLennan Cos., Inc",Financial,Insurance Brokers,USA,100242.14,24.47,203.9,0.017,3756577,Yes
3224,MMM,3M Co,Industrials,Conglomerates,USA,80331.22,20.98,150.82,0.0049,2636959,Yes
3225,MMS,Maximus Inc,Industrials,Specialty Business Services,USA,4218.88,14.89,74.87,-0.0156,772414,Yes
3226,MMSI,"Merit Medical Systems, Inc",Healthcare,Medical Instruments & Supplies,USA,4947.75,42.45,83.55,-0.0111,628177,Yes
3228,MMYT,MakeMyTrip Ltd,Consumer Cyclical,Travel Services,India,8846.81,107.58,92.98,0.0026,1003667,Yes
3231,MNDY,Monday.Com Ltd,Technology,Software - Application,Israel,13124.9,262.2,258.5,0.0342,1136051,Yes
3237,MNSO,MINISO Group Holding Ltd ADR,Consumer Cyclical,Specialty Retail,China,6044.86,18.01,19.71,0.0051,365710,Yes
3238,MNST,Monster Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic,USA,58027.15,39.28,59.5,0.0078,11643632,Yes
3242,MO,Altria Group Inc,Consumer Defensive,Tobacco,USA,106085.12,12.2,63.15,0.0101,6482840,Yes
3244,MOD,Modine Manufacturing Co,Consumer Cyclical,Auto Parts,USA,7169.64,39.14,136.59,-0.0279,861656,Yes
3248,MOG-A,"Moog, Inc",Industrials,Aerospace & Defense,USA,6150.14,29.47,194.01,0.0018,172032,Yes
3250,MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans,USA,8255.2,7.51,152.31,-0.0189,1294035,Yes
3253,MORN,Morningstar Inc,Financial,Financial Data & Stock Exchanges,USA,10965.79,27.66,259.99,-0.0079,361084,Yes
3255,MOS,Mosaic Company,Basic Materials,Agricultural Inputs,USA,9811.95,10.49,30.93,-0.1331,17983851,Yes
3257,MP,MP Materials Corporation,Basic Materials,Other Industrial Metals & Mining,USA,11953.91,,67.51,-0.0129,13196740,Yes
3260,MPC,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing,USA,49903.82,24.06,162.44,-0.0384,2755537,Yes
3261,MPLX,MPLX LP,Energy,Oil & Gas Midstream,USA,52377.36,12.18,51.31,0.0088,1726468,Yes
3262,MPW,Medical Properties Trust Inc,Real Estate,REIT - Healthcare Facilities,USA,2499.32,,4.16,-0.0048,8472679,Yes
3263,MPWR,Monolithic Power System Inc,Technology,Semiconductors,USA,38593.77,20.98,805.85,0.0038,416428,Yes
3265,MQ,Marqeta Inc,Technology,Software - Infrastructure,USA,2659.76,56.63,5.68,0.0161,6213402,Yes
3271,MRCY,Mercury Systems Inc,Industrials,Aerospace & Defense,USA,3222.59,,53.93,-0.0057,409464,Yes
3273,MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,USA,199476.33,12.25,79.44,-0.0167,13028688,Yes
3274,MRNA,Moderna Inc,Healthcare,Biotechnology,USA,10392.32,,26.71,-0.0277,10166646,Yes
3276,MRP,Millrose Properties Inc,Real Estate,REIT - Residential,USA,4876.83,37.27,31.63,0.0118,1165763,Yes
3278,MRUS,Merus N.V,Healthcare,Biotechnology,Netherlands,4881.21,,65.54,-0.0283,1108244,Yes
3280,MRVL,Marvell Technology Inc,Technology,Semiconductors,USA,64940.9,,75.32,-0.0171,14469742,Yes
3281,MRX,Marex Group Plc,Financial,Capital Markets,United Kingdom,2485.27,12.83,34.89,-0.0119,2163314,Yes
3282,MS,Morgan Stanley,Financial,Capital Markets,USA,225562.24,16.01,141.3,0.006,3765824,Yes
3283,MSA,MSA Safety Inc,Industrials,Security & Protection Services,USA,6999.2,25.39,178.07,-0.0104,218965,Yes
3286,MSCI,MSCI Inc,Financial,Financial Data & Stock Exchanges,USA,42419.36,36.33,548.3,-0.0169,1064871,Yes
3292,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,3901966.44,38.48,524.94,-0.0053,21355702,Yes
3298,MSGS,Madison Square Garden Sports Corp,Communication Services,Entertainment,USA,4881.44,1032.72,203.24,0.0044,110073,Yes
3299,MSI,Motorola Solutions Inc,Technology,Communication Equipment,USA,73796.82,36.88,442.12,0.0186,669367,Yes
3300,MSM,"MSC Industrial Direct Co., Inc",Industrials,Industrial Distribution,USA,4766.96,24.15,85.62,-0.0057,349720,Yes
3303,MSTR,Strategy,Technology,Software - Application,USA,108716.94,33.75,383.41,0.0212,7242638,Yes
3309,MT,ArcelorMittal,Basic Materials,Steel,Luxembourg,24084.72,9.67,31.67,0.0203,2145844,Yes
3311,MTB,M & T Bank Corp,Financial,Banks - Regional,USA,28989.73,12.02,185.5,-0.0135,755770,Yes
3313,MTCH,Match Group Inc,Communication Services,Internet Content & Information,USA,9139.55,18.35,37.27,0.105,16375339,Yes
3314,MTD,"Mettler-Toledo International, Inc",Healthcare,Diagnostics & Research,USA,25168.73,30.95,1221.84,-0.0178,184758,Yes
3315,MTDR,Matador Resources Co,Energy,Oil & Gas E&P,USA,5810.15,6.84,46.67,-0.0236,1784283,Yes
3316,MTG,MGIC Investment Corp,Financial,Insurance - Specialty,USA,6231.04,8.86,27.03,0.0033,1916222,Yes
3317,MTH,Meritage Homes Corp,Consumer Cyclical,Residential Construction,USA,5118.97,8.21,71.94,-0.0184,833748,Yes
3319,MTN,Vail Resorts Inc,Consumer Cyclical,Resorts & Casinos,USA,5537.19,19.07,149.04,-0.0004,386542,Yes
3320,MTRN,Materion Corp,Basic Materials,Other Industrial Metals & Mining,USA,2262.13,142.59,109.14,0.0053,242289,Yes
3322,MTSI,MACOM Technology Solutions Holdings Inc,Technology,Semiconductors,USA,10342.53,,139.03,0.0127,1037883,Yes
3323,MTSR,Metsera Inc,Healthcare,Biotechnology,USA,3512,,33.43,0.0024,2382776,Yes
3328,MTZ,Mastec Inc,Industrials,Engineering & Construction,USA,14448.83,54.34,183.11,0.0304,1116350,Yes
3329,MU,Micron Technology Inc,Technology,Semiconductors,USA,121738.43,19.63,108.78,-0.0026,13021881,Yes
3331,MUFG,"Mitsubishi UFJ Financial Group, Inc. ADR",Financial,Banks - Diversified,Japan,161023.41,13.14,14.1,0.0086,2000024,Yes
3334,MUR,Murphy Oil Corp,Energy,Oil & Gas E&P,USA,3372.38,9.07,23.63,-0.0092,3024105,Yes
3336,MUSA,Murphy USA Inc,Consumer Cyclical,Specialty Retail,USA,7091.48,15.21,367.58,0.0159,294621,Yes
3344,MWA,Mueller Water Products Inc,Industrials,Specialty Industrial Machinery,USA,4062.64,27.38,25.93,0.029,2285895,Yes
3353,MYRG,MYR Group Inc,Industrials,Engineering & Construction,USA,2882.75,38.78,185.71,-0.0093,238834,Yes
3355,MZTI,Marzetti Co,Consumer Defensive,Packaged Foods,USA,4893.22,28.84,177.49,-0.005,111386,Yes
3362,NAMS,NewAmsterdam Pharma Company NV,Healthcare,Biotechnology,Netherlands,2651.83,,23.62,0.087,931224,Yes
3367,NATL,NCR Atleos Corp,Technology,Software - Application,USA,2387.27,20.9,32.5,0.0201,1205075,Yes
3374,NBIS,Nebius Group N.V,Technology,Software - Infrastructure,Netherlands,13129.24,,55.09,-0.0015,9731086,Yes
3375,NBIX,"Neurocrine Biosciences, Inc",Healthcare,Drug Manufacturers - Specialty & Generic,USA,12737.88,37.91,128.43,0.0003,823220,Yes
3377,NBTB,NBT Bancorp. Inc,Financial,Banks - Regional,USA,2137.43,14.72,40.85,-0.0012,158417,Yes
3378,NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services,USA,11212.56,17.86,24.81,-0.0076,10431077,Yes
3380,NCNO,Ncino Inc,Technology,Software - Application,USA,3124.62,,26.95,-0.0141,1307344,Yes
3381,NDAQ,Nasdaq Inc,Financial,Financial Data & Stock Exchanges,USA,55405.67,37.1,96.56,0.0023,2352620,Yes
3383,NDSN,Nordson Corp,Industrials,Specialty Industrial Machinery,USA,11930.73,27.16,211.13,-0.0133,316468,Yes
3384,NE,Noble Corp Plc,Energy,Oil & Gas Drilling,USA,4361.78,14.25,27.47,0.0208,3586230,Yes
3387,NEE,NextEra Energy Inc,Utilities,Utilities - Regulated Electric,USA,145262.51,24.58,70.54,-0.009,7720218,Yes
3388,NEM,Newmont Corp,Basic Materials,Gold,USA,74606.71,12.19,67.92,0.0101,9551898,Yes
3393,NET,Cloudflare Inc,Technology,Software - Infrastructure,USA,75108.24,,215.53,0.0371,2325111,Yes
3395,NEU,NewMarket Corp,Basic Materials,Specialty Chemicals,USA,6784.46,14.31,722.01,0.0186,69081,Yes
3400,NEXT,NextDecade Corporation,Energy,Oil & Gas Equipment & Services,USA,2879.25,,10.99,-0.0059,4911373,Yes
3403,NFG,National Fuel Gas Co,Energy,Oil & Gas Integrated,USA,7860.73,32.55,86.99,0.0027,491390,Yes
3408,NFLX,Netflix Inc,Communication Services,Entertainment,USA,500767.17,50.22,1178.48,0.0267,3362161,Yes
3412,NG,Novagold Resources Inc,Basic Materials,Gold,USA,2339.67,,5.75,-0.0017,3452023,Yes
3413,NGD,New Gold Inc,Basic Materials,Gold,Canada,3768.49,26.2,4.76,0.0416,15950386,Yes
3414,NGG,National Grid Plc ADR,Utilities,Utilities - Regulated Electric,United Kingdom,71739.68,18.85,72.3,0.0003,567162,Yes
3421,NHI,"National Health Investors, Inc",Real Estate,REIT - Healthcare Facilities,USA,3395.56,23.07,72.72,-0.0078,303585,Yes
3423,NI,NiSource Inc,Utilities,Utilities - Regulated Gas,USA,19694.21,22.23,41.84,-0.0247,7779963,Yes
3425,NICE,NICE Ltd ADR,Technology,Software - Application,Israel,9735.44,21.43,153.92,0.0057,495081,Yes
3427,NIO,NIO Inc ADR,Consumer Cyclical,Auto Manufacturers,China,8957.28,,4.61,0.0244,55025093,Yes
3429,NJR,New Jersey Resources Corporation,Utilities,Utilities - Regulated Gas,USA,4669.29,11.37,46.52,-0.003,690043,Yes
3430,NKE,"Nike, Inc",Consumer Cyclical,Footwear & Accessories,USA,111476.7,34.96,75.48,0.0148,7579794,Yes
3436,NLY,Annaly Capital Management Inc,Real Estate,REIT - Mortgage,USA,13213.92,20.48,20.58,-0.0101,5239382,Yes
3440,NMIH,NMI Holdings Inc,Financial,Insurance - Specialty,USA,2970.31,8.13,38.29,0.0116,431749,Yes
