No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,>2000 (2 bil)
1653,ESTC,Elastic N.V,Technology,Software - Application,USA,8510.33,,80.64,0.0069,2407359,Yes
1654,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,61291.55,13.45,17.86,0.0073,28738155,Yes
1663,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,140148.01,36.03,358.16,0.0048,4507528,Yes
1666,ETOR,Etoro Group Ltd,Financial,Capital Markets,Israel,4711.7,6.75,56.29,-0.0289,622104,Yes
1668,ETR,Entergy Corp,Utilities,Utilities - Regulated Electric,USA,40301.81,22.47,90.28,-0.0013,2678062,Yes
1669,ETSY,Etsy Inc,Consumer Cyclical,Internet Retail,USA,5569.9,44.95,56.2,0.0039,4851880,Yes
1688,EVR,Evercore Inc,Financial,Capital Markets,USA,11586.61,27.26,299.71,0.0035,361939,Yes
1689,EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric,USA,16854.14,19.3,73.25,0.0029,2903415,Yes
1690,EVTC,Evertec Inc,Technology,Software - Infrastructure,USA,2242.57,16.46,35.05,0.0133,271322,Yes
1694,EW,Edwards Lifesciences Corp,Healthcare,Medical Devices,USA,46112.62,53.94,78.61,-0.008,3963656,Yes
1696,EWBC,"East West Bancorp, Inc",Financial,Banks - Regional,USA,13574.4,11.5,98.49,-0.0078,781052,Yes
1721,EXAS,Exact Sciences Corp,Healthcare,Diagnostics & Research,USA,8848.99,,46.91,-0.0095,4235166,Yes
1722,EXC,Exelon Corp,Utilities,Utilities - Regulated Electric,USA,45510.03,17.11,45.06,0.0083,7263768,Yes
1723,EXE,Expand Energy Corp,Energy,Oil & Gas E&P,USA,24207.51,263,101.65,0.006,2591179,Yes
1724,EXEL,Exelixis Inc,Healthcare,Biotechnology,USA,10151.63,18.09,37.71,0.0067,2718760,Yes
1728,EXLS,ExlService Holdings Inc,Technology,Information Technology Services,USA,6906.3,29.6,42.76,0.0068,1773858,Yes
1729,EXP,Eagle Materials Inc,Basic Materials,Building Materials,USA,7162.53,16.26,220.73,-0.0209,399275,Yes
1730,EXPD,"Expeditors International Of Washington, Inc",Industrials,Integrated Freight & Logistics,USA,16259.85,19.38,118.73,0.0208,1483854,Yes
1731,EXPE,Expedia Group Inc,Consumer Cyclical,Travel Services,USA,23535.16,21.81,185.14,0.0181,1797487,Yes
1733,EXPO,Exponent Inc,Industrials,Engineering & Construction,USA,3628.22,35.87,71.49,0.0039,299775,Yes
1734,EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,USA,30592.08,30,138.05,-0.004,1106579,Yes
1735,EXTR,Extreme Networks Inc,Technology,Communication Equipment,USA,2683.33,,20.15,0.1404,4427177,Yes
1743,F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,USA,44614.24,14.3,11.21,0.0136,59519843,Yes
1744,FA,First Advantage Corp,Industrials,Specialty Business Services,USA,2815.25,,16.21,0.01,1082866,Yes
1747,FAF,First American Financial Corp,Financial,Insurance - Specialty,USA,6378.79,34.61,62.66,0.0006,622708,Yes
1750,FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,USA,42177.37,10.26,144.36,-0.0091,2171860,Yes
1753,FAST,Fastenal Co,Industrials,Industrial Distribution,USA,53686.44,45.21,46.78,0.0295,6308817,Yes
1756,FBIN,Fortune Brands Innovations Inc,Industrials,Building Products & Equipment,USA,6788.2,17.78,56.55,-0.0042,1335949,Yes
1759,FBK,FB Financial Corp,Financial,Banks - Regional,USA,2561.59,24.69,47.57,-0.0163,278420,Yes
1761,FBNC,First Bancorp,Financial,Banks - Regional,USA,2050.3,21.1,49.5,-0.009,182732,Yes
1764,FBP,First Bancorp PR,Financial,Banks - Regional,USA,3289.01,10.84,20.36,-0.0083,1012186,Yes
1775,FCFS,FirstCash Holdings Inc,Financial,Credit Services,USA,6014.51,20.84,135.57,0.0172,225025,Yes
1778,FCN,FTI Consulting Inc,Industrials,Consulting Services,USA,5436.82,23.62,168.02,-0.0024,236522,Yes
1779,FCNCA,"First Citizens Bancshares, Inc (NC)",Financial,Banks - Regional,USA,24320.73,10.91,1848.75,-0.0074,165785,Yes
1782,FCPT,Four Corners Property Trust Inc,Real Estate,REIT - Retail,USA,2666.97,23.72,25.53,-0.0008,743263,Yes
1783,FCX,Freeport-McMoRan Inc,Basic Materials,Copper,USA,57246.94,30.1,39.86,-0.0042,9498360,Yes
1796,FDS,Factset Research Systems Inc,Financial,Financial Data & Stock Exchanges,USA,14816.85,28.29,391.91,0.0114,462154,Yes
1801,FDX,Fedex Corp,Industrials,Integrated Freight & Logistics,USA,53419.35,13.43,226.45,0.0182,2130714,Yes
1802,FE,Firstenergy Corp,Utilities,Utilities - Regulated Electric,USA,25082.43,19.18,43.44,-0.0018,5131767,Yes
1803,FELE,"Franklin Electric Co., Inc",Industrials,Specialty Industrial Machinery,USA,4186.01,24.33,94.1,-0.0057,217489,Yes
1810,FER,Ferrovial S.E,Industrials,Engineering & Construction,Netherlands,37488.55,10.33,52.1,0.0037,242830,Yes
1811,FERG,Ferguson Enterprises Inc,Industrials,Industrial Distribution,USA,43951.65,27.82,222.9,-0.0144,1291035,Yes
1819,FFBC,First Financial Bancorp,Financial,Banks - Regional,USA,2268.95,9.5,23.7,-0.0092,245729,Yes
1821,FFIN,"First Financial Bankshares, Inc",Financial,Banks - Regional,USA,4866.96,19.84,34.01,-0.0087,330912,Yes
1822,FFIV,F5 Inc,Technology,Software - Infrastructure,USA,18448.75,28.32,321.23,0.0077,523217,Yes
1825,FG,F&G Annuities & Life Inc,Financial,Insurance - Life,USA,4467.38,8.96,33.15,0.0231,240718,Yes
1828,FHB,First Hawaiian INC,Financial,Banks - Regional,USA,2971.12,12.31,23.84,-0.0083,824981,Yes
1829,FHI,Federated Hermes Inc,Financial,Asset Management,USA,3990.46,11.43,51.45,0.0008,715731,Yes
1831,FHN,First Horizon Corporation,Financial,Banks - Regional,USA,10859.87,13.84,21.41,-0.0125,9001958,Yes
1833,FI,"Fiserv, Inc",Technology,Information Technology Services,USA,72863.22,22.4,134.04,-0.0018,5699917,Yes
1835,FIBK,First Interstate BancSystem Inc,Financial,Banks - Regional,USA,3059.56,13.16,29.17,-0.0182,1005319,Yes
1836,FICO,Fair Isaac Corp,Technology,Software - Application,USA,33451.73,54.51,1393.61,0.0376,368804,Yes
1840,FIG,Figma Inc,Technology,Software - Application,USA,44027.47,,90.32,0.1421,28703577,Yes
1846,FIS,"Fidelity National Information Services, Inc",Technology,Information Technology Services,USA,36725.11,261.7,69.9,-0.0321,6490132,Yes
1848,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,27534.06,12.84,41.25,-0.0022,3844881,Yes
1851,FIVE,Five Below Inc,Consumer Cyclical,Specialty Retail,USA,7462.01,28.41,135.53,-0.0021,737910,Yes
1852,FIVN,Five9 Inc,Technology,Software - Infrastructure,USA,2002.65,287.04,25.92,0.0023,2402416,Yes
1854,FIX,"Comfort Systems USA, Inc",Industrials,Engineering & Construction,USA,24360.08,35.48,690.45,-0.0014,301794,Yes
1856,FIZZ,National Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic,USA,4324.32,23.16,46.19,-0.0043,134943,Yes
1859,FL,Foot Locker Inc,Consumer Cyclical,Apparel Retail,USA,2413.8,,25.29,0.0173,2336804,Yes
1866,FLEX,Flex Ltd,Technology,Electronic Components,USA,18713.7,21.9,49.86,-0.0135,3809645,Yes
1867,FLG,Flagstar Financial Inc,Financial,Banks - Regional,USA,4690.4,,11.3,0.0098,4964940,Yes
